Date,Open,High,Low,Close*,Adj Close**,Volume,ATR_14,EMA_10,RSI_14
2022-09-16,30866.61,30866.61,30550.08,30822.42,30822.42,627920000,715.1335714285714,30232.15391780104,58.0396902921826
2022-09-15,31124.68,31277.69,30882.08,30961.82,30961.82,345500000,707.0799999999999,30364.820478200847,56.415540912304
2022-09-14,31141.02,31276.82,30885.02,31135.09,31135.09,348670000,699.4671428571427,30504.86948216433,57.45364967291225
2022-09-13,32006.5,32006.5,31018.54,31104.97,31104.97,428930000,665.6735714285712,30613.97866722536,67.18166528283408
2022-09-12,32159.49,32504.04,32159.49,32381.34,32381.34,339250000,710.2471428571425,30935.317091366203,85.09760776023455
2022-09-09,31876.22,32227.74,31876.22,32151.71,32151.71,310980000,690.0257142857138,31156.47943839053,79.63067226720563
2022-09-08,31481.95,31783.37,31321.5,31774.52,31774.52,344340000,699.5542857142854,31268.85044959225,71.52478647965276
2022-09-07,31145.63,31644.34,31095.21,31581.28,31581.28,345080000,696.2535714285711,31325.65582239366,77.17393477695795
2022-09-06,31343.79,31463.89,31048.46,31145.3,31145.3,347320000,698.8992857142855,31292.86385468572,69.5838780545088
2022-09-02,31848.5,32026.9,31182.09,31318.44,31318.44,306180000,711.5007142857141,31297.514062924678,68.56152803408041
2022-09-01,31454.58,31677.51,31219.75,31656.42,31656.42,339360000,693.3499999999998,31362.76968784746,67.52703824185966
2022-08-31,31827.15,31966.04,31509.59,31510.43,31510.43,392780000,658.5171428571427,31389.617017329736,64.5931003834587
2022-08-30,32163.84,32205.66,31647.22,31790.87,31790.87,317150000,657.8371428571427,31462.572105087966,62.60195284724384
2022-08-29,32188.0,32325.16,31972.79,32098.99,32098.99,317820000,662.6064285714284,31578.284449617426,62.5555764948943
2022-08-26,33293.43,33364.7,32278.22,32283.4,32283.4,352850000,719.4714285714282,31706.48727695971,67.04649404472991
2022-08-25,33029.27,33306.09,32889.85,33291.78,33291.78,308530000,760.0014285714278,31994.72231751249,72.6022746233213
2022-08-24,32899.01,33095.5,32828.56,32969.23,32969.23,256900000,765.1028571428566,32171.90553251022,67.29165802464021
2022-08-23,33033.52,33138.26,32858.89,32909.59,32909.59,251870000,714.4892857142853,32306.029981144722,66.91917960795487
2022-08-22,33586.59,33586.59,33007.63,33063.61,33063.61,308900000,662.9128571428568,32443.771802754767,58.10160281757709
2022-08-19,33904.69,33904.69,33627.09,33706.74,33706.74,293990000,686.9099999999999,32673.40238407208,66.81400714932929
2022-08-18,33981.86,34043.83,33844.46,33999.04,33999.04,282550000,651.687142857143,32914.42740514988,74.50278896398578
2022-08-17,34029.55,34161.01,33828.41,33980.32,33980.32,281390000,626.9221428571428,33108.22605875899,77.48167155425219
2022-08-16,33924.35,34281.36,33852.57,34152.01,34152.01,288670000,619.4914285714286,33298.00495716645,86.66263464788524
2022-08-15,33710.7,33954.71,33582.96,33912.44,33912.44,262670000,597.1664285714287,33409.72041949982,81.1259581371462
2022-08-12,33430.72,33767.09,33398.32,33761.05,33761.05,299140000,601.1921428571433,33473.59852504531,76.43775044908114
2022-08-11,33451.51,33651.8,33289.83,33336.67,33336.67,308030000,602.2471428571433,33448.702429582525,71.44108351296384
2022-08-10,33130.63,33364.41,33130.63,33309.51,33309.51,311740000,569.2864285714295,33423.394715112976,68.95712352638647
2022-08-09,32807.36,32877.53,32702.66,32774.41,32774.41,281080000,574.4692857142867,33305.397494183344,57.979085350294405
2022-08-08,32877.36,33109.96,32769.1,32832.54,32832.54,275350000,508.4085714285728,33219.42340433183,56.68678278488903
2022-08-05,32593.9,32814.61,32489.62,32803.47,32803.47,273010000,459.8535714285733,33143.79551263513,42.19166253577887
